step_time,vehicle_count,queue_length_N,queue_length_S,queue_length_E,queue_length_W,queue_N,queue_S,queue_E,queue_W,avg_speed,flow_rate,time_of_day,day_of_week,current_phase,density
0.0,4,0,0,0,0,0,0,0,0,13.67574675,0.0011111111111111111,0.0,0,0,0.04
0.5,4,0,0,0,0,0,0,0,0,13.267857179293825,0.0011111111111111111,0.5,0,0,0.04
1.0,4,0,0,0,0,0,0,0,0,13.30128363065964,0.0011111111111111111,1.0,0,0,0.04
1.5,5,0,0,0,0,0,0,0,0,13.07276891877284,0.001388888888888889,1.5,0,0,0.05
2.0,8,0,0,0,0,0,0,0,0,12.244495210917467,0.0022222222222222222,2.0,0,0,0.08
2.5,8,0,0,0,0,0,0,0,0,12.09110212435926,0.0022222222222222222,2.5,0,0,0.08
3.0,8,0,0,0,0,0,0,0,0,12.22260924957818,0.0022222222222222222,3.0,0,0,0.08
3.5,8,0,0,0,0,0,0,0,0,12.244059013961033,0.0022222222222222222,3.5,0,0,0.08
4.0,8,0,0,0,0,0,0,0,0,12.23991462983404,0.0022222222222222222,4.0,0,0,0.08
4.5,8,0,0,0,0,0,0,0,0,12.246907288687453,0.0022222222222222222,4.5,0,0,0.08
5.0,8,0,0,0,0,0,0,0,0,12.208617424538625,0.0022222222222222222,5.0,0,0,0.08
5.5,8,0,0,0,0,0,0,0,0,12.080219370131182,0.0022222222222222222,5.5,0,0,0.08
6.0,8,0,0,0,0,0,0,0,0,12.212938303161446,0.0022222222222222222,6.0,0,0,0.08
6.5,8,0,0,0,0,0,0,0,0,12.153301741270207,0.0022222222222222222,6.5,0,0,0.08
7.0,8,0,0,0,0,0,0,0,0,12.11171580740056,0.0022222222222222222,7.0,0,0,0.08
7.5,8,0,0,0,0,0,0,0,0,12.19854044255344,0.0022222222222222222,7.5,0,0,0.08
8.0,8,0,0,0,0,0,0,0,0,12.118205761507944,0.0022222222222222222,8.0,0,0,0.08
8.5,8,0,0,0,0,0,0,0,0,12.119206606762692,0.0022222222222222222,8.5,0,0,0.08
9.0,8,0,0,0,0,0,0,0,0,12.125195226246525,0.0022222222222222222,9.0,0,0,0.08
9.5,8,0,0,0,0,0,0,0,0,12.17299075076162,0.0022222222222222222,9.5,0,0,0.08
10.0,8,0,0,0,0,0,0,0,0,12.097899132223484,0.0022222222222222222,10.0,0,0,0.08
